verified,followers,gender,age,society,sports,politics,religion,entertainment,other,result
False,2611,male,25-,61.2,2.9,15.8,13.4,6.0,0.7,0
False,2611,male,25-,61.2,2.9,15.8,13.4,6.0,0.7,0
False,2611,male,25-,61.2,2.9,15.8,13.4,6.0,0.7,0
False,2827,male,35+,40.5,4.8,17.7,27.7,8.4,1.0,0
False,2827,male,35+,40.5,4.8,17.7,27.7,8.4,1.0,0
True,783732,male,35+,52.4,9.7,21.4,8.5,4.8,3.2,1
True,783732,male,35+,52.4,9.7,21.4,8.5,4.8,3.2,0
False,615,male,35+,56.8,23.7,7.9,3.2,7.2,1.1,1
False,615,male,35+,56.8,23.7,7.9,3.2,7.2,1.1,0
False,615,male,35+,56.8,23.7,7.9,3.2,7.2,1.1,0
False,615,male,35+,56.8,23.7,7.9,3.2,7.2,1.1,0
False,1804,male,25-,35.5,22.9,23.7,11.6,4.1,2.2,1
False,1804,male,25-,35.5,22.9,23.7,11.6,4.1,2.2,0
False,1804,male,25-,35.5,22.9,23.7,11.6,4.1,2.2,0
False,1804,male,25-,35.5,22.9,23.7,11.6,4.1,2.2,0
False,10755,female,35+,49.0,5.4,13.4,24.4,6.6,1.1,0
False,10755,female,35+,49.0,5.4,13.4,24.4,6.6,1.1,0
False,10755,female,35+,49.0,5.4,13.4,24.4,6.6,1.1,0
False,565,male,25-35,53.8,11.5,7.7,3.8,15.4,7.7,1
False,565,male,25-35,53.8,11.5,7.7,3.8,15.4,7.7,0
False,565,male,25-35,53.8,11.5,7.7,3.8,15.4,7.7,0
False,4578,female,25-,70.4,5.1,6.4,13.2,3.9,1.0,1
False,978,male,35+,55.5,4.5,17.5,15.1,6.2,1.1,1
False,26,male,35+,22.8,2.2,23.1,42.9,6.4,2.7,1
False,200,male,35+,45.4,3.3,27.9,16.6,4.9,1.9,1
False,200,male,35+,45.4,3.3,27.9,16.6,4.9,1.9,0
False,547,male,35+,42.9,0.0,9.5,9.5,28.6,9.5,1
False,547,male,35+,42.9,0.0,9.5,9.5,28.6,9.5,0
False,39572,male,35+,50.6,7.9,9.8,26.7,4.5,0.6,0
False,39572,male,35+,50.6,7.9,9.8,26.7,4.5,0.6,0
False,197,male,35+,42.2,8.2,19.2,12.3,15.1,3.1,1
False,197,male,35+,42.2,8.2,19.2,12.3,15.1,3.1,0
True,1044743,male,35+,41.0,6.8,5.8,7.5,38.1,0.8,0
True,1044743,male,35+,41.0,6.8,5.8,7.5,38.1,0.8,0
True,1044743,male,35+,41.0,6.8,5.8,7.5,38.1,0.8,0
True,1044743,male,35+,41.0,6.8,5.8,7.5,38.1,0.8,0
True,1287074,male,35+,27.2,2.9,55.6,5.9,4.6,3.8,0
True,1287074,male,35+,27.2,2.9,55.6,5.9,4.6,3.8,0
True,1287074,male,35+,27.2,2.9,55.6,5.9,4.6,3.8,0
True,1287074,male,35+,27.2,2.9,55.6,5.9,4.6,3.8,0
False,74,male,35+,67.9,2.3,12.9,12.4,3.9,0.7,1
False,74,male,35+,67.9,2.3,12.9,12.4,3.9,0.7,0
False,74,male,35+,67.9,2.3,12.9,12.4,3.9,0.7,0
False,74,male,35+,67.9,2.3,12.9,12.4,3.9,0.7,0
False,1103,male,35+,34.2,13.0,33.4,10.2,6.9,2.3,1
False,1103,male,35+,34.2,13.0,33.4,10.2,6.9,2.3,0
False,1103,male,35+,34.2,13.0,33.4,10.2,6.9,2.3,0
False,1103,male,35+,34.2,13.0,33.4,10.2,6.9,2.3,0
False,12467,female,35+,51.7,3.1,6.4,34.0,4.1,0.7,0
False,12467,female,35+,51.7,3.1,6.4,34.0,4.1,0.7,0
False,12467,female,35+,51.7,3.1,6.4,34.0,4.1,0.7,0
False,51,female,35+,52.2,7.5,7.5,28.4,4.5,0.0,0
False,9460,male,35+,55.1,3.7,15.2,18.2,5.1,2.7,1
False,9460,male,35+,55.1,3.7,15.2,18.2,5.1,2.7,0
True,83402,male,35+,100.0,0.0,0.0,0.0,0.0,0.0,1
True,83402,male,35+,100.0,0.0,0.0,0.0,0.0,0.0,0
False,5663,female,35+,69.6,3.7,6.2,14.9,4.8,0.7,0
False,5663,female,35+,69.6,3.7,6.2,14.9,4.8,0.7,0
False,5663,female,35+,69.6,3.7,6.2,14.9,4.8,0.7,0
False,5663,female,35+,69.6,3.7,6.2,14.9,4.8,0.7,0
False,774,male,35+,60.5,12.5,5.0,17.4,4.5,0.1,0
False,19092,female,35+,74.8,4.5,3.1,8.5,8.9,0.3,0
False,19092,female,35+,74.8,4.5,3.1,8.5,8.9,0.3,0
False,375,male,35+,41.7,4.3,37.0,11.7,3.7,1.6,1
False,375,male,35+,41.7,4.3,37.0,11.7,3.7,1.6,0
False,375,male,35+,41.7,4.3,37.0,11.7,3.7,1.6,0
False,274,male,35+,47.8,6.6,9.7,31.3,3.8,0.8,1
False,274,male,35+,47.8,6.6,9.7,31.3,3.8,0.8,0
False,274,male,35+,47.8,6.6,9.7,31.3,3.8,0.8,0
False,1465,male,35+,51.1,5.4,15.1,21.0,6.3,1.1,0
False,11,male,35+,14.3,4.8,47.6,9.5,9.5,14.3,0
False,68,male,35+,60.5,3.5,16.4,15.4,3.7,0.5,1
False,68,male,35+,60.5,3.5,16.4,15.4,3.7,0.5,0
False,46,male,35+,50.0,11.0,9.7,5.8,23.4,0.0,1
False,46,male,35+,50.0,11.0,9.7,5.8,23.4,0.0,0
True,326842,female,35+,40.0,13.3,20.0,13.3,13.3,0.0,0
True,326842,female,35+,40.0,13.3,20.0,13.3,13.3,0.0,0
False,2090,male,35+,63.6,3.0,13.1,8.5,11.0,0.8,1
False,2090,male,35+,63.6,3.0,13.1,8.5,11.0,0.8,0
False,2090,male,35+,63.6,3.0,13.1,8.5,11.0,0.8,0
False,39,male,35+,62.4,2.7,18.4,9.6,5.9,1.1,1
False,39,male,35+,62.4,2.7,18.4,9.6,5.9,1.1,0
False,39,male,35+,62.4,2.7,18.4,9.6,5.9,1.1,0
False,3547,female,25-,74.9,5.0,4.3,12.2,3.4,0.2,1
False,3547,female,25-,74.9,5.0,4.3,12.2,3.4,0.2,0
False,3547,female,25-,74.9,5.0,4.3,12.2,3.4,0.2,0
True,6706,male,35+,36.0,3.8,8.5,5.1,45.9,0.7,0
True,6706,male,35+,36.0,3.8,8.5,5.1,45.9,0.7,0
False,576,male,25-35,27.0,35.8,18.4,4.9,10.8,3.1,0
False,576,male,25-35,27.0,35.8,18.4,4.9,10.8,3.1,0
False,576,male,25-35,27.0,35.8,18.4,4.9,10.8,3.1,0
False,576,male,25-35,27.0,35.8,18.4,4.9,10.8,3.1,0
False,3207,male,35+,36.2,4.0,20.5,26.9,8.6,3.8,1
False,3207,male,35+,36.2,4.0,20.5,26.9,8.6,3.8,0
False,3207,male,35+,36.2,4.0,20.5,26.9,8.6,3.8,0
False,3207,male,35+,36.2,4.0,20.5,26.9,8.6,3.8,0
False,290,male,35+,69.2,3.1,9.9,9.9,6.1,1.7,1
False,290,male,35+,69.2,3.1,9.9,9.9,6.1,1.7,0
False,290,male,35+,69.2,3.1,9.9,9.9,6.1,1.7,0
False,290,male,35+,69.2,3.1,9.9,9.9,6.1,1.7,0
False,6225,male,35+,22.1,5.3,19.2,7.0,45.0,1.4,1
False,6225,male,35+,22.1,5.3,19.2,7.0,45.0,1.4,0
False,6225,male,35+,22.1,5.3,19.2,7.0,45.0,1.4,0
False,147,male,35+,78.1,1.4,11.5,5.2,2.6,1.2,1
False,147,male,35+,78.1,1.4,11.5,5.2,2.6,1.2,0
False,147,male,35+,78.1,1.4,11.5,5.2,2.6,1.2,0
False,21,male,25-35,64.0,8.2,8.5,15.1,3.7,0.5,1
False,21,male,25-35,64.0,8.2,8.5,15.1,3.7,0.5,0
False,21,male,25-35,64.0,8.2,8.5,15.1,3.7,0.5,0
False,70,female,35+,36.5,5.7,32.5,17.1,6.0,2.2,0
False,309,male,25-,49.1,3.5,15.1,28.7,3.2,0.4,0
False,258,male,35+,58.8,2.3,12.6,20.1,5.3,0.9,1
False,258,male,35+,58.8,2.3,12.6,20.1,5.3,0.9,0
False,40049,male,35+,34.7,3.4,44.9,11.6,3.4,2.0,0
False,40049,male,35+,34.7,3.4,44.9,11.6,3.4,2.0,0
False,54776,male,35+,39.9,18.9,30.9,5.6,1.5,3.4,1
False,54776,male,35+,39.9,18.9,30.9,5.6,1.5,3.4,0
False,54776,male,35+,39.9,18.9,30.9,5.6,1.5,3.4,0
False,54776,male,35+,39.9,18.9,30.9,5.6,1.5,3.4,0
False,364,male,35+,38.6,12.2,29.5,5.5,8.6,5.5,1
False,364,male,35+,38.6,12.2,29.5,5.5,8.6,5.5,0
False,364,male,35+,38.6,12.2,29.5,5.5,8.6,5.5,0
False,364,male,35+,38.6,12.2,29.5,5.5,8.6,5.5,0
True,8544983,male,35+,47.1,16.3,13.1,16.3,6.5,0.7,0
True,8544983,male,35+,47.1,16.3,13.1,16.3,6.5,0.7,0
True,8544983,male,35+,47.1,16.3,13.1,16.3,6.5,0.7,0
True,8544983,male,35+,47.1,16.3,13.1,16.3,6.5,0.7,0
False,50574,male,35+,26.2,3.3,11.5,49.2,8.2,1.6,0
False,50574,male,35+,26.2,3.3,11.5,49.2,8.2,1.6,0
False,50574,male,35+,26.2,3.3,11.5,49.2,8.2,1.6,0
False,50574,male,35+,26.2,3.3,11.5,49.2,8.2,1.6,0
False,11050,male,35+,51.3,2.4,16.5,22.2,6.0,1.6,1
False,11050,male,35+,51.3,2.4,16.5,22.2,6.0,1.6,0
False,11050,male,35+,51.3,2.4,16.5,22.2,6.0,1.6,0
False,11050,male,35+,51.3,2.4,16.5,22.2,6.0,1.6,0
False,41,male,35+,29.4,4.3,49.8,8.9,4.3,3.3,0
False,41,male,35+,29.4,4.3,49.8,8.9,4.3,3.3,0
False,41,male,35+,29.4,4.3,49.8,8.9,4.3,3.3,0
False,41,male,35+,29.4,4.3,49.8,8.9,4.3,3.3,0
True,54417,male,35+,46.6,14.6,17.5,14.6,2.9,3.9,0
True,54417,male,35+,46.6,14.6,17.5,14.6,2.9,3.9,0
True,116145,male,35+,48.2,13.5,18.5,11.3,6.5,2.1,1
True,116145,male,35+,48.2,13.5,18.5,11.3,6.5,2.1,0
True,315096,male,35+,50.9,7.6,25.2,9.2,2.5,4.5,1
True,315096,male,35+,50.9,7.6,25.2,9.2,2.5,4.5,0
True,315096,male,35+,50.9,7.6,25.2,9.2,2.5,4.5,0
